company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years,sector,geography,team_size_category,post_2008,years_since_founding,decade,vc_x_post2008,log_time_years
IAT Multimedia Inc,1996,0,1997-01-01,1997-03-26,IPO,Jay_Ritter,,,,1997-01-01,1997-03-26,1,0.2299794661190965,Other,Unknown,Unknown,0,28,1990,0,0.20699747503285956
e-NET Inc,1995,0,1996-01-01,1997-04-07,IPO,Jay_Ritter,,,,1996-01-01,1997-04-07,1,1.264887063655031,Other,Unknown,Unknown,0,29,1990,0,0.8175248961709127
Nexar Technologies Inc,1995,0,1995-01-01,1997-04-08,IPO,Jay_Ritter,,,,1995-01-01,1997-04-08,1,2.2669404517453797,Other,Unknown,Unknown,0,29,1990,0,1.183853905255197
BEA Systems Inc,1995,1,1996-01-01,1997-04-10,IPO,Jay_Ritter,,,,1996-01-01,1997-04-10,1,1.273100616016427,Other,Unknown,Unknown,0,29,1990,0,0.8211448096260471
Go2Net Inc,1996,0,1997-01-01,1997-04-23,IPO,Jay_Ritter,,,,1997-01-01,1997-04-23,1,0.3066392881587953,Other,Unknown,Unknown,0,28,1990,0,0.2674584119750481
Lexington Healthcare Group,1995,0,1996-01-01,1997-05-19,IPO,Jay_Ritter,,,,1996-01-01,1997-05-19,1,1.379876796714579,Other,Unknown,Unknown,0,29,1990,0,0.867048720257162
MER Telemanagement Solutions,1995,0,1996-01-01,1997-05-21,IPO,Jay_Ritter,,,,1996-01-01,1997-05-21,1,1.3853524982888432,Other,Unknown,Unknown,0,29,1990,0,0.8693469114439247
Apple Orthodontix Inc,1996,0,1997-01-01,1997-05-22,IPO,Jay_Ritter,,,,1997-01-01,1997-05-22,1,0.3860369609856263,Other,Unknown,Unknown,0,28,1990,0,0.32644856778994
NetSpeak Corp,1995,0,1996-01-01,1997-05-29,IPO,Jay_Ritter,,,,1996-01-01,1997-05-29,1,1.4072553045859,Other,Unknown,Unknown,0,29,1990,0,0.8784872207232829
Conserver Corp of America,1996,0,1997-01-01,1997-06-06,IPO,Jay_Ritter,,,,1997-01-01,1997-06-06,1,0.4271047227926078,Other,Unknown,Unknown,0,28,1990,0,0.35564772248220233
Simulations Plus Inc,1996,0,1997-01-01,1997-06-18,IPO,Jay_Ritter,,,,1997-01-01,1997-06-18,1,0.459958932238193,Other,Unknown,Unknown,0,28,1990,0,0.37840830672065107
Aurora Biosciences Corp,1995,1,1996-01-01,1997-06-19,IPO,Jay_Ritter,,,,1996-01-01,1997-06-19,1,1.4647501711156743,Other,Unknown,Unknown,0,29,1990,0,0.9020904518981758
Peak International Ltd,1997,0,1997-01-01,1997-06-20,IPO,Jay_Ritter,,,,1997-01-01,1997-06-20,1,0.4654346338124572,Other,Unknown,Unknown,0,27,1990,0,0.3821518768389833
"Life Financial Corp, CA",1996,0,1997-01-01,1997-06-24,IPO,Jay_Ritter,,,,1997-01-01,1997-06-24,1,0.4763860369609856,Other,Unknown,Unknown,0,28,1990,0,0.38959723463845686
