company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years
800 Travel Systems Inc,1995,0,1996-01-01,1998-01-15,IPO,Jay_Ritter,,,,1996-01-01,1998-01-15,1,2.0396988364134154
Standard Automotive Corp,1997,0,1998-01-01,1998-01-22,IPO,Jay_Ritter,,,,1998-01-01,1998-01-22,1,0.057494866529774126
Tag-It Pacific Inc,1997,0,1998-01-01,1998-01-23,IPO,Jay_Ritter,,,,1998-01-01,1998-01-23,1,0.06023271731690623
ElderTrust Realty Group,1997,0,1998-01-01,1998-01-26,IPO,Jay_Ritter,,,,1998-01-01,1998-01-26,1,0.06844626967830253
VeriSign Inc,1995,1,1996-01-01,1998-01-29,IPO,Jay_Ritter,,,,1996-01-01,1998-01-29,1,2.078028747433265
BMJ Medical Management Inc,1996,1,1997-01-01,1998-02-04,IPO,Jay_Ritter,,,,1997-01-01,1998-02-04,1,1.0924024640657084
Royal Olympic Cruises Inc,1995,0,1996-01-01,1998-02-04,IPO,Jay_Ritter,,,,1996-01-01,1998-02-04,1,2.0944558521560577
Condor Technology Solutions,1996,0,1997-01-01,1998-02-05,IPO,Jay_Ritter,,,,1997-01-01,1998-02-05,1,1.0951403148528405
ACSYS Inc,1997,0,1998-01-01,1998-02-06,IPO,Jay_Ritter,,,,1998-01-01,1998-02-06,1,0.09856262833675565
Dispatch Management Services,1996,0,1997-01-01,1998-02-06,IPO,Jay_Ritter,,,,1997-01-01,1998-02-06,1,1.0978781656399725
Jinpan International Ltd,1997,0,1998-01-01,1998-02-06,IPO,Jay_Ritter,,,,1998-01-01,1998-02-06,1,0.09856262833675565
1-800 CONTACTS INC,1995,0,1996-01-01,1998-02-09,IPO,Jay_Ritter,,,,1996-01-01,1998-02-09,1,2.108145106091718
Birner Dental Mngmt Svcs Inc,1995,0,1996-01-01,1998-02-11,IPO,Jay_Ritter,,,,1996-01-01,1998-02-11,1,2.113620807665982
Ambient Corporation,1996,0,1996-01-01,1998-02-12,IPO,Jay_Ritter,,,,1996-01-01,1998-02-12,1,2.116358658453114
Balanced Care Corp,1995,1,1996-01-01,1998-02-12,IPO,Jay_Ritter,,,,1996-01-01,1998-02-12,1,2.116358658453114
Capital Automotive REIT,1997,0,1998-01-01,1998-02-12,IPO,Jay_Ritter,,,,1998-01-01,1998-02-12,1,0.11498973305954825
Quanta Services Inc,1997,0,1998-01-01,1998-02-12,IPO,Jay_Ritter,,,,1998-01-01,1998-02-12,1,0.11498973305954825
DoubleClick Inc,1996,1,1997-01-01,1998-02-20,IPO,Jay_Ritter,,,,1997-01-01,1998-02-20,1,1.136208076659822
C2I Solutions Inc,1996,0,1997-01-01,1998-02-24,IPO,Jay_Ritter,,,,1997-01-01,1998-02-24,1,1.1471594798083504
Compass International Svcs,1997,0,1998-01-01,1998-02-27,IPO,Jay_Ritter,,,,1998-01-01,1998-02-27,1,0.15605749486652978
Galvestons Steakhouse Corp,1996,0,1997-01-01,1998-02-27,IPO,Jay_Ritter,,,,1997-01-01,1998-02-27,1,1.1553730321697468
Pentacon Inc,1997,0,1998-01-01,1998-03-09,IPO,Jay_Ritter,,,,1998-01-01,1998-03-09,1,0.1834360027378508
BNC Mortgage Inc,1995,0,1996-01-01,1998-03-11,IPO,Jay_Ritter,,,,1996-01-01,1998-03-11,1,2.190280629705681
Grand Court Lifestyles Inc,1996,0,1997-01-01,1998-03-13,IPO,Jay_Ritter,,,,1997-01-01,1998-03-13,1,1.1937029431895962
Pentegra Dental Group Inc,1997,0,1998-01-01,1998-03-24,IPO,Jay_Ritter,,,,1998-01-01,1998-03-24,1,0.2245037645448323
Horizon Offshore Inc,1995,0,1996-01-01,1998-04-01,IPO,Jay_Ritter,,,,1996-01-01,1998-04-01,1,2.2477754962354553
Annuity and Life RE Holdings,1997,0,1998-01-01,1998-04-08,IPO,Jay_Ritter,,,,1998-01-01,1998-04-08,1,0.2655715263518138
CUMETRIX Inc,1996,0,1996-01-01,1998-04-08,IPO,Jay_Ritter,,,,1996-01-01,1998-04-08,1,2.2669404517453797
American Dental Partners Inc,1995,1,1996-01-01,1998-04-15,IPO,Jay_Ritter,,,,1996-01-01,1998-04-15,1,2.2861054072553046
Correctional Properties Trust,1998,0,1998-01-01,1998-04-22,IPO,Jay_Ritter,,,,1998-01-01,1998-04-22,1,0.30390143737166325
LaSalle Hotel Properties,1998,0,1998-01-01,1998-04-23,IPO,Jay_Ritter,,,,1998-01-01,1998-04-23,1,0.3066392881587953
US LEC Corp,1996,0,1997-01-01,1998-04-23,IPO,Jay_Ritter,,,,1997-01-01,1998-04-23,1,1.3059548254620124
Provant Inc,1996,0,1997-01-01,1998-04-28,IPO,Jay_Ritter,,,,1997-01-01,1998-04-28,1,1.319644079397673
United Road Services Inc,1997,0,1998-01-01,1998-05-01,IPO,Jay_Ritter,,,,1998-01-01,1998-05-01,1,0.32854209445585214
Caliber Learning Network Inc,1996,0,1997-01-01,1998-05-05,IPO,Jay_Ritter,,,,1997-01-01,1998-05-05,1,1.3388090349075976
Genesis Direct Inc,1995,1,1996-01-01,1998-05-07,IPO,Jay_Ritter,,,,1996-01-01,1998-05-07,1,2.346338124572211
MGC Communications Inc,1996,1,1997-01-01,1998-05-11,IPO,Jay_Ritter,,,,1997-01-01,1998-05-11,1,1.3552361396303902
Verio Inc,1996,1,1997-01-01,1998-05-11,IPO,Jay_Ritter,,,,1997-01-01,1998-05-11,1,1.3552361396303902
Frontline Communications Corp,1997,0,1998-01-01,1998-05-13,IPO,Jay_Ritter,,,,1998-01-01,1998-05-13,1,0.3613963039014374
IBS Interactive Inc,1995,0,1996-01-01,1998-05-14,IPO,Jay_Ritter,,,,1996-01-01,1998-05-14,1,2.3655030800821355
ResortQuest International,1997,0,1998-01-01,1998-05-20,IPO,Jay_Ritter,,,,1998-01-01,1998-05-20,1,0.3805612594113621
Salomon Brothers High Income,1998,0,1998-01-01,1998-05-21,IPO,Jay_Ritter,,,,1998-01-01,1998-05-21,1,0.38329911019849416
Waste Connections Inc,1997,0,1998-01-01,1998-05-22,IPO,Jay_Ritter,,,,1998-01-01,1998-05-22,1,0.3860369609856263
Capstar Broadcasting Corp,1996,0,1997-01-01,1998-05-26,IPO,Jay_Ritter,,,,1997-01-01,1998-05-26,1,1.3963039014373717
AnswerThink Consulting Group,1997,1,1998-01-01,1998-05-28,IPO,Jay_Ritter,,,,1998-01-01,1998-05-28,1,0.4024640657084189
Clarion Commercial Hldg Inc,1998,0,1998-01-01,1998-05-28,IPO,Jay_Ritter,,,,1998-01-01,1998-05-28,1,0.4024640657084189
Registry Magic Inc,1995,0,1996-01-01,1998-05-28,IPO,Jay_Ritter,,,,1996-01-01,1998-05-28,1,2.403832991101985
LandCARE USA Inc,1997,0,1998-01-01,1998-06-04,IPO,Jay_Ritter,,,,1998-01-01,1998-06-04,1,0.4216290212183436
Inktomi Corporation,1996,1,1997-01-01,1998-06-09,IPO,Jay_Ritter,,,,1997-01-01,1998-06-09,1,1.434633812457221
NetGravity Inc,1995,1,1996-01-01,1998-06-11,IPO,Jay_Ritter,,,,1996-01-01,1998-06-11,1,2.4421629021218343
HLM Design Inc,1997,1,1998-01-01,1998-06-12,IPO,Jay_Ritter,,,,1998-01-01,1998-06-12,1,0.44353182751540043
Transportation Components Inc,1997,0,1998-01-01,1998-06-19,IPO,Jay_Ritter,,,,1998-01-01,1998-06-19,1,0.46269678302532513
Allegiance Telecom Inc,1997,1,1998-01-01,1998-06-30,IPO,Jay_Ritter,,,,1998-01-01,1998-06-30,1,0.4928131416837782
Abgenix Inc,1996,1,1997-01-01,1998-07-02,IPO,Jay_Ritter,,,,1997-01-01,1998-07-02,1,1.4976043805612593
Collateral Therapeutics Inc,1995,1,1995-01-01,1998-07-02,IPO,Jay_Ritter,,,,1995-01-01,1998-07-02,1,3.4989733059548254
Cash Technologies Inc,1995,0,1996-01-01,1998-07-09,IPO,Jay_Ritter,,,,1996-01-01,1998-07-09,1,2.518822724161533
Broadcast.Com Inc,1995,0,1998-07-01,1998-07-16,IPO,Jay_Ritter,,,,1998-07-01,1998-07-16,1,0.04106776180698152
Cardinal Financial Corporation,1997,0,1998-01-01,1998-07-17,IPO,Jay_Ritter,,,,1998-01-01,1998-07-17,1,0.5393566050650239
Enterprise Products Prtnrs LP,1998,0,1998-01-01,1998-07-27,IPO,Jay_Ritter,,,,1998-01-01,1998-07-27,1,0.5667351129363449
DLJ High Yield Bond Fund,1998,0,1998-01-01,1998-07-28,IPO,Jay_Ritter,,,,1998-01-01,1998-07-28,1,0.5694729637234771
Florida Banks Inc,1997,0,1998-01-01,1998-07-29,IPO,Jay_Ritter,,,,1998-01-01,1998-07-29,1,0.5722108145106092
Team Communication Group Inc,1995,0,1996-01-01,1998-07-29,IPO,Jay_Ritter,,,,1996-01-01,1998-07-29,1,2.5735797399041753
